Title,Condition,Price,Sale_Date,Postage,Total_Cost,Import_Date,URL
Brand New Nintendo Switch OLED Model HEG-001 Console - 64GB - White + Zelda game,Brand new,265.0,5 Mar 2023,17.5,282.5,2023-03-07,https://www.ebay.co.uk/itm/374535126416?epid=5048310008&hash=item5734087d90%3Ag%3AtewAAOSwVDRjjc-r&amdata=enc%3AAQAHAAAAoJRFjHC7k%2Ftdg4%2FgndKBipuvQD6e3H6VbNTu0BeK1J7HVBnErU1A4B6AWfia0sPIfQkxyix6bb2uWWx6zIUCPOPwDwJ59wfhVdHldl%2F%2F9pVbO%2FhSjE8oc7Vii1AiJP%2B1dBPEk8O1TSnsvaGuf%2FgDlH0HIhX%2BijTx9qOPMSeEUHnZ6ckddb4kc5m%2BT9%2B1lqTDODnip0kr6nPNVBkP9f4nmqU%3D%7Ctkp%3ABk9SR6zMq9bXYQ&LH_Auction=1
Nintendo Switch OLED Model HEG-001 Handheld Console - 64GB - White,Pre-owned,248.0,5 Mar 2023,0.0,248.0,2023-03-07,https://www.ebay.co.uk/itm/134466700930?epid=5048310008&hash=item1f4ed70682%3Ag%3Ar0gAAOSwxOxj-lLR&amdata=enc%3AAQAHAAAAoKghhEtJqa1XTbGxSPNzr2aXiAyh0FLNiP73pp55cM5ilmN4odu2NZIRVigF0jEUwmxQlz%2BWHiUbOKISPmzTt%2FOmzqfPcrAYBKrUo627Hyb8%2BWAC%2FVkGS6rpROsdXyp1GnlCAG1Ei4r83Sn%2BPyHktR9dQ5swb7TW2BmcxwgWS36yqlPI1VB7uviVkmdzDtOgZ2ptuS6UGCTnL1qRg3LPNqs%3D%7Ctkp%3ABk9SR6zMq9bXYQ&LH_Auction=1
Nintendo Switch OLED Model Handheld Console - 64GB - White,Pre-owned,225.0,5 Mar 2023,6.85,231.85,2023-03-07,https://www.ebay.co.uk/itm/115716773685?epid=5048310008&hash=item1af141d735%3Ag%3AFbIAAOSw2l5j-y%7Ed&amdata=enc%3AAQAHAAAAoCwadFrLSRLmrML%2F%2BAjib0Suj9urfR7Tejd0QDM9BnRAnKy2zr5vnoFr31pz0cpqVbxFtBi29Y33WSsha6N46KAt1pse99PA3G3f%2B26txl2PTh%2B5XBYviibPbQ%2Bzm%2FgTUH38hbyA04%2FuEBpSaMXuMUYAKbpGFTjFSSzhH%2BtsfAMpvRKusU%2FkpfJQV8VdePvNVfvxqsovumW5gwm0YdNtvHM%3D%7Ctkp%3ABk9SR6zMq9bXYQ&LH_Auction=1
Nintendo Switch OLED Model HEG-001 Handheld Console - 64GB - White,Pre-owned,230.0,5 Mar 2023,6.85,236.85,2023-03-07,https://www.ebay.co.uk/itm/195624968521?epid=5048310008&hash=item2d8c282149%3Ag%3AE5sAAOSwJ6hj6SGQ&amdata=enc%3AAQAHAAAAoKVPK%2BsOl1swwyUhi7E5v8vdgYAV1ZLWJFEFknH40JAyb8TihxPU6Pz%2BciO2ZYDDs6ElRTX2l6EUqgpH5QoMr3AZXw9FWn7b%2BAd5z4P5I0ok1puGW%2FOyhObLpy7MWpof2anIQnhms5WejpF2K6rOcAIH8%2FiegZLItxw6FvBS8MovyQWslWnz2fPaEl9n2kmCWHvX1vTAXtdnhVVbKFFW9Xg%3D%7Ctkp%3ABk9SR67Mq9bXYQ&LH_Auction=1
Nintendo Switch OLED Model Handheld Console - 64GB - White,Pre-owned,251.0,5 Mar 2023,0.0,251.0,2023-03-07,https://www.ebay.co.uk/itm/266148023275?epid=5048310008&hash=item3df7a88beb%3Ag%3A61EAAOSwbmZj-hvr&amdata=enc%3AAQAHAAAAoINGjm0lzeT%2FgyzAGLwf3HcXjDiqe%2Fh55gw0%2BIvaZTPJjzTZkbP8QzM3xeIVnRmxiE5HurMu1CvT74LZQMHxbRWA3OeV6j6m%2FcotMKarNONV6H3KAJgF%2BYoi2s9jMo7ohvFI46U94btKX7V0M9HAtO1Q2GoHX6oA5C8IiGVE60SLMTRE2WD4eqPjbDxg%2BJAccrTR%2FdV3N4maKwHBCQ1NSi8%3D%7Ctkp%3ABk9SR67Mq9bXYQ&LH_Auction=1
Nintendo Switch OLED - Ultimate Bundle - Switch OLED - 5 Games - Accessories,Pre-owned,356.0,5 Mar 2023,15.45,371.45,2023-03-07,https://www.ebay.co.uk/itm/275713441638?hash=item4031cd3f66%3Ag%3A4SoAAOSwlT1j8lyw&amdata=enc%3AAQAHAAAAoI2zDPAAPd13x5PEYJOJDYty3ctD1us3PZgQXyaYtZjNn6KKXkbkt2c3k3SIZr4TGW6UEpFG7pVcU9DBrYStVsUY1W5cxB1ktLMHmFXhuGD75Tz84412eW25wsCWQSS6xj9abFbbJyzv9fig%2BWZpH7fdmwVBZCDK8uwBo951gL021rlPGlNQT8BkqJBBFBkAFo3i5eg3zvQiTg86Pve2BMA%3D%7Ctkp%3ABk9SR67Mq9bXYQ&LH_Auction=1
Nintendo Switch OLED Model  Handheld Console - 64GB - Black/Neon Red/Neon,Pre-owned,210.0,5 Mar 2023,15.45,225.45,2023-03-07,https://www.ebay.co.uk/itm/144963218135?hash=item21c07b2ad7%3Ag%3AYxAAAOSw7ntj-3YB&amdata=enc%3AAQAHAAAAoLX96U27YjT2ftGBnQgDkypIqHycqAi3GfxLqUgU1rkSjTEAjzv%2B69p%2FujDkRoLbKV9THBYV1Sxg8hjSBjx%2BY4IUl7zHqg0KRhzp%2FZQrOVON2s8RuT4qC3s3zF2aNCgPMwOx8waCiJZ7YYc6evnv6LENLrUFA4JSlSC%2BZbY5TCmeX1bj%2F%2FzufhDbAROukg5MqAL3Sk%2BnjFWcZtjX0nqJQ%2Fs%3D%7Ctkp%3ABk9SR67Mq9bXYQ&LH_Auction=1
Nintendo Switch Pokemon Scarlet and Violet Limited Edition Console Oled Model ,Brand new,280.0,5 Mar 2023,6.85,286.85,2023-03-07,https://www.ebay.co.uk/itm/385444172581?hash=item59be435325%3Ag%3ALl4AAOSwnfVj-3rO&amdata=enc%3AAQAHAAAAoBlZPoCVNZmOqpAl%2BMEIRPwvlO3mkuOfQDGW4jUxwIYf0n9jllW7tprmgQE0V%2BikW0w6KlrbkuryuJN%2B2r4xxN9jDE9lppflnfDstIU3OTzkOmvBDg%2FACYQe3eErOkQEy791rih2mcb2%2FsMpNQYjOI2NYr0CNkzB8iBNv4zfC3H%2BJicasea8nTzged9xtLjRlTCys9RMye8vAi4jaVzC9vI%3D%7Ctkp%3ABk9SR67Mq9bXYQ&LH_Auction=1
Nintendo Switch OLED Bundle - 64GB - White (3 Games & Official Controller),Pre-owned,311.0,5 Mar 2023,0.0,311.0,2023-03-07,https://www.ebay.co.uk/itm/275713092576?hash=item4031c7ebe0%3Ag%3AyJsAAOSwEp9j-3jn&amdata=enc%3AAQAHAAAAoLp0qS7X8NJXgdbqcbFYcVM862oHjzJd2BuEy5BcnBKLW2eU1ny2Oh%2BG0REoDVhhuqZK%2Fcev6%2BhXIzzjTiUXveKi0CLn5Ch7llA1q%2BqDpiUHKxIlaY2CTIZNnec003NoxWVgyDkqdWRq2udyuGQhH8cfp%2F%2BJV6yG5OdNHuZRac6gf0YD3leQRVq0WQ%2FA0YpgXuVUaw4Hnp7FYFgq0ycp7qU%3D%7Ctkp%3ABk9SR67Mq9bXYQ&LH_Auction=1
Nintendo Switch OLED Model HEG-001 Handheld Console - 64GB - White.,Pre-owned,261.0,5 Mar 2023,9.0,270.0,2023-03-07,https://www.ebay.co.uk/itm/195637211157?epid=5048310008&hash=item2d8ce2f015%3Ag%3AoOcAAOSw2W5kA1P7&amdata=enc%3AAQAHAAAAoMdAbYH2vjBgBUGhb9SyMhzIC7Z77a5SnLfcrEGUBobH0%2BfOaVzSUlj3z1H3BWF2T9koqCQVwWG%2FB%2FZHp%2F38Nlja95325PGJk%2BPeNu6E8KYYtfo6K0Q1%2BOp1yN%2FGlFu7royrO4tfHx%2BqSiR46k0Q37pY27fsRGbMSl4i8Xku2SJQImXMJbWFZjSsavEbnaQjwucnieuxEoX9ANeLpC6n2ic%3D%7Ctkp%3ABk9SR67Mq9bXYQ&LH_Auction=1
Nintendo Switch OLED White 64GB with assasins creed game ,Pre-owned,230.0,5 Mar 2023,6.85,236.85,2023-03-07,https://www.ebay.co.uk/itm/185800680889?hash=item2b429565b9%3Ag%3ANakAAOSwZgJj%7EHzp&amdata=enc%3AAQAHAAAAoINcKiwSuUKxTAQ6lvEYFKbk%2F40Cr5QrNAQ0JzrW8H6qDZjZzmpRaw3zYJnpcTFAnddhggP5pavcqXuaawKi1oCquAxAH9x9ZA3cCc1%2BdDfuHlyUu2axqnhObezB9Qkxut84NW0QLM7C4aTKG%2BvtTeObWflqFzKDZ1rh1z%2BX2z8igujmquA24Nme0AS7B9gunThS0sMqqJZWwB06xBxZoq8%3D%7Ctkp%3ABk9SR67Mq9bXYQ&LH_Auction=1
Nintendo Switch OLED Model HEG-001 Handheld Console - 64GB - White,Opened – never used,250.0,5 Mar 2023,6.85,256.85,2023-03-07,https://www.ebay.co.uk/itm/134466256012?epid=5048310008&hash=item1f4ed03c8c%3Ag%3AoEwAAOSwlkFj6NkD&amdata=enc%3AAQAHAAAAoCFdZzgjSrOzYRQ5D6q1FSc7a7BhEHL%2BTj8DjMPvvkNF3XQ8lhE5p8hAbctlJYoGE3LtGpJ3woO9tbjswNi5ovquUhimIBN9f%2F6hl3Mw9JHZmPWu0q8l0ImpPRZsVH1ZDi8nlJ98hnRMaIZF%2F9t1fflxW71U4uIgQMdlPXjfj6pmdn0shkwZS4OHXRqUnrMd%2BtV95U8zkW%2BaJi5sIYu1lZU%3D%7Ctkp%3ABk9SR67Mq9bXYQ&LH_Auction=1
Nintendo Switch OLED Model HEG-001 Handheld Console - 64GB - White,Pre-owned,233.0,5 Mar 2023,9.99,242.99,2023-03-07,https://www.ebay.co.uk/itm/374534460917?epid=5048310008&hash=item5733fe55f5%3Ag%3Alw0AAOSwsFxj-zN6&amdata=enc%3AAQAHAAAAoL93p6gmwKs%2B9cgw2Abx%2BnXzl8xBAvIS0kRHNeob5RfYlBzenA%2FfTKtWeajqtpAfHNyKPSzQNW0e4iYatRHpL1CpfkN2kZo%2BpP30x61Sh3Ia91z3qq8uM9UrM0EThWAL8ZFE%2Bb7etMT3GmjwZAgJpPVwUMu%2BtU8pN1nNdw0TG27scXCX9RAH0O%2BkQtusaoCIOtXlInVHau%2BVZfTv9q3C9W8%3D%7Ctkp%3ABk9SR67Mq9bXYQ&LH_Auction=1
"Nintendo Switch OLED White 64GB, plus 4 games, pro controller, 128GB SD and case",Pre-owned,360.01,5 Mar 2023,10.0,370.01,2023-03-07,https://www.ebay.co.uk/itm/175629489017?hash=item28e4555379%3Ag%3AEDQAAOSwmEJj-zVX&amdata=enc%3AAQAHAAAAoD736BaDmUNc%2Bhg3v9HycXgu73x%2F1AUzvUWMde%2FRw9nmaSlvsa8g%2FV%2FswJvXQOlZI%2BVBeBUgbUEms15Zn4zDKOYGW7HtZItbmKfbV4%2Fy6IqAYpKdLph9DFnfDRlbu2Ij44JneBGDeNWAyi7Vh9OOjAZt%2FYJVqbHruBvU51fC0n2DjhVTSMRD12DAoUKOCSRU1cSFhkOO%2FeuavRSPIHfbQ8o%3D%7Ctkp%3ABk9SR67Mq9bXYQ&LH_Auction=1
Nintendo Switch OLED Model HEG-001 Handheld Console - 64GB - White,Pre-owned,230.0,5 Mar 2023,6.85,236.85,2023-03-07,https://www.ebay.co.uk/itm/394483767300?epid=5048310008&hash=item5bd9109804%3Ag%3AwJcAAOSwVn5j-ztc&amdata=enc%3AAQAHAAAAoA8Gg69qwLAIBB2byoEeA2VmmHvlA5ejQK24A5BE2x3ok6Oumv7BxdRdABTJQUNwfJO%2B7OjDEW3i3oIyWnuk%2FNzZ4JyMI9GUJcwTpyT3jA%2BXZGFTDDT6yl1lQtpZzmzyAPmuqcqmsQ17tENmDnqT9eQ%2F%2BhqWLsm2jqSi8UvzaK0ArcZXeQBsPxASaVur55%2B8zDPHzqeAD1N6hciB22NoUDM%3D%7Ctkp%3ABk9SR67Mq9bXYQ&LH_Auction=1
Genuine Nintendo Switch OLED Handheld Console Only Model HEG-001 - UDAC READ,Pre-owned,140.15,5 Mar 2023,16.05,156.20000000000002,2023-03-07,https://www.ebay.co.uk/itm/204258873172?epid=10048191653&hash=item2f8ec70f54%3Ag%3ANBcAAOSwSzVjrGjD&amdata=enc%3AAQAHAAAAoATwlP36UQ2VibIgUeDK72fjfalSWdHPS7Afz06ShvVs57E3a4hRdofU%2FK7yCowbyy0eMyAawcxjApwIwqCxSO%2FPzhGR2sG%2Fq7aR2cipHLLb5ZwLAhXEVvHd0htsrMhb%2BSVUhk4oaYbNcJRl860ESVxlS1oUUbEELy8gLVZOMPEqXLNPY5pIXQmp6fVokr3vSONXd61yeQeMfyg72PVS7MM%3D%7Ctkp%3ABk9SR67Mq9bXYQ&LH_Auction=1
Nintendo Switch – OLED Model Pokemon Scarlet and Violet Limited Edition,Brand new,262.0,4 Mar 2023,6.85,268.85,2023-03-07,https://www.ebay.co.uk/itm/204256493464?hash=item2f8ea2bf98%3Ag%3AEK8AAOSw7CBj-oB6&amdata=enc%3AAQAHAAAAoGBVAiDZ15LOlNm6PiIBmLxkwhB2qBPUUkVuetBYQ7c%2BsULPV4%2FCPQk7dLUDVApX7zw93OPuIqHRffg1SpaGWingqAe%2BPOE7QbNPQ7zEjVYhkG7zTpXplHXX0YVmvh%2F7ufLctxkHqLfVVzAT4LhvEEq3%2FNCqaRXoXzwLJUqabtg7upVw1g4oFQU1N1%2Bl8gDdzPvb05QibIp10vVd6JCgp14%3D%7Ctkp%3ABk9SR67Mq9bXYQ&LH_Auction=1
Nintendo Switch OLED Model HEG-001 Handheld Console - 64GB - White,Pre-owned,240.0,4 Mar 2023,10.0,250.0,2023-03-07,https://www.ebay.co.uk/itm/165957660188?epid=5048310008&hash=item26a3d8ee1c%3Ag%3ATf0AAOSwsh1j-nSs&amdata=enc%3AAQAHAAAAoOL%2FnCtIGL7j07feeC7dmygcMt%2FRQ1TINONZWgaeqrJPkeAB1add2KGHjg7R4PrfZXX46rNyziOPxA%2BGXB51jXaO4nY%2BUswKMvPeK90ITUy3aVaMs815exSVxHc5oJO05ZXlmIwwSRU0FfsSVnS0a%2BHPOJkT5NaR%2BVoRl00o60ObAXWOO88biHyjlxlWPdf55zry4ZGhHsMDeAtkr0614Dg%3D%7Ctkp%3ABk9SR67Mq9bXYQ&LH_Auction=1
Nintendo Switch OLED Model HEG-001 Handheld Console - 64GB - White,Pre-owned,205.0,4 Mar 2023,0.0,205.0,2023-03-07,https://www.ebay.co.uk/itm/266148135440?epid=5048310008&hash=item3df7aa4210%3Ag%3ArfUAAOSw6Ddj-iyS&amdata=enc%3AAQAHAAAAoEbNkJhwTvYsKsVy0044egMrQLDz6QC0OhWh0xq6qtWXFQi7EQ553JVtzJHPL2QK%2FussOPCEQpxmpzj2sz5yTVlAGj8QlT8KCAeE7ghTzn7rNaFC5vVTiGrLeVkkljXnrtdFYEUahp10HibqRdeANXoyylX1M9PbIfpG61pRfVSsRZuvnchpUVtlyhvmEKNvCuq5NCSLMGOYeh0XyW6aqbE%3D%7Ctkp%3ABk9SR67Mq9bXYQ&LH_Auction=1
Nintendo Switch OLED Console -64GB- White +256gb SdCard + Nintendo sports + Case,Pre-owned,235.0,4 Mar 2023,6.5,241.5,2023-03-07,https://www.ebay.co.uk/itm/374533327887?epid=5048310008&hash=item5733ed0c0f%3Ag%3ARIwAAOSw06tj-k6t&amdata=enc%3AAQAHAAAAoLDEmlCP0BsFAHE2PqhZrFZ0dsU2zkfLj9eLWLTLH0v805OnXxr2vINsEGcrdpaTc2n%2BtwNFjPUeqNF%2BLbG3hnRnDCSfsPwbgnrdPxoC7eke8N2qYNou014qroC0ktgK5RcDxakrv0IIWbvdHmCqyHas3Bc0Tm2tt2SjkvyN1FSiszetmALgtKj9AHxvpDZdW2ze6gT2IoiRdDL3Taq%2FUUk%3D%7Ctkp%3ABk9SR67Mq9bXYQ&LH_Auction=1
Nintendo Switch OLED Model HEG-001 Handheld Console - 64GB - Black/Neon Red/Neon,Opened – never used,235.0,4 Mar 2023,0.0,235.0,2023-03-07,https://www.ebay.co.uk/itm/266148023271?epid=9048299510&hash=item3df7a88be7%3Ag%3AlssAAOSw%7EQ9j8-yQ&amdata=enc%3AAQAHAAAAoElywnz1McEDvfvAFe4GvQLZFC6AbOyaicKnFYv3MaYfTbSomttKJjPDHGVvfi1RmhruYUb99OJc2eoo%2BoXj2F1Z43nlodagFZODjwihxoRFZ%2FxvJi8IZP7r2%2BW7g01wXfsH9jufwKTsOE6ugHb1DLr6PYhaYIqju5dApioibwiNO7jdoRRzZUcXsEDt4z4phGCWsOAb2cvZu3m3K%2BkBE1E%3D%7Ctkp%3ABk9SR67Mq9bXYQ&LH_Auction=1
Nintendo Switch OLED Model HEG-001 Handheld Console - 64GB - White,Pre-owned,245.0,4 Mar 2023,8.05,253.05,2023-03-07,https://www.ebay.co.uk/itm/225447153267?epid=5048310008&hash=item347db28e73%3Ag%3AIqoAAOSwoy1j-krK&amdata=enc%3AAQAHAAAAoC3tgRdXjQ%2Bq12ldrSIvWzh%2FhtJZCkeu98k3cV6sWyo5r5vxNQW3xW5%2Bf34rq1VJ5I8Kbr7xs9d437vb6IbB0K0kk8qGs7tc9GRLLnZPTKHadsVrCrdFAH3%2BcuZHo3PeWcOQS3esLLucDgAslTft1VLib2i8yrHSLPNvICqLf%2B8x7LReqC7z98O3FsjkAZuCcgxz6C2dh5eSkc16huxtFmw%3D%7Ctkp%3ABk9SR7DMq9bXYQ&LH_Auction=1
Nintendo Switch OLED Model Handheld Console - 64GB - White,Pre-owned,215.0,4 Mar 2023,11.15,226.15,2023-03-07,https://www.ebay.co.uk/itm/285160597666?hash=item4264e568a2%3Ag%3Ak-YAAOSwVQpj-kRr&amdata=enc%3AAQAHAAAAoBkBy4HymRyK1zDnKodeFNb62SxbN1Kgn3I4xdtGBYfasJCmelIY%2FSQNvKNtvQy%2FvF%2BmDi%2BH%2FR9bK5crbgEOSH9TAMoRQ9UNo9pWo9lL0QLI0pvi%2B5zQ4wuRq83tGu7ddtL0aopwOK2G05YvqCcIRREwyR%2F%2Fips2quNknbnmuj%2BdRcHkYP%2F9yPBYQpuEZbkwS3LBvRt8Iaj20w%2F6UtV9s4k%3D%7Ctkp%3ABk9SR7DMq9bXYQ&LH_Auction=1
Nintendo Switch OLED Console - 64GB - White inc. 2 Pokemon games! Great cond.,Pre-owned,251.0,4 Mar 2023,6.85,257.85,2023-03-07,https://www.ebay.co.uk/itm/125801191922?hash=item1d4a55d9f2%3Ag%3AunUAAOSwFClkAiAN&amdata=enc%3AAQAHAAAAoNHRtYzuKBVrG4QLiSCyiuCy%2F1fLoX1a%2FhtPvR4KR7c1fWmHQI1P%2F7q4wzhki02qkjP%2B%2FnzD4kIIBCVP7JwU1olvR7kFo%2FwvAStXuHRZgzJY14QYWmZGKnMIsac0FaIa%2B6Sdr7wfZSp5yAI0XfK8NhrmdD3HTug9Sd%2FBX0hs9ikcuTgDJTTt3H%2FPV50tbpTKHYHKAgi9inqM6UuryIRQd2k%3D%7Ctkp%3ABk9SR7DMq9bXYQ&LH_Auction=1
Nintendo Switch OLED Model HEG-001 Handheld Console - 64GB - White,Pre-owned,205.74,4 Mar 2023,30.64,236.38,2023-03-07,https://www.ebay.co.uk/itm/195630819125?epid=10048191653&hash=item2d8c816735%3Ag%3Awf8AAOSwzLpi%7EjUz&amdata=enc%3AAQAHAAAAoOwSU1IoE%2BjE1tP4knjZ3TeD5CxDKNTXxNWZeDk6XRjrk4VI7CCMeWDQKoUB9kA1dLCQcQYCZZ3O8ox%2FIm3J25iyPEGCoACpKfGVcTTnjDYqjSPGpmLr6fYafPRRfhCot83Gi7OCLfCBTGlEukagivwbzg6sX9GFJApX03Wks4qPVE97zxvULT9O07ygZ%2BYaLimo663EevnuDm7hll2BeXU%3D%7Ctkp%3ABk9SR7DMq9bXYQ&LH_Auction=1
BRAND NEW Nintendo Switch OLED Model Handheld Console - 64GB - White,Brand new,255.0,4 Mar 2023,8.05,263.05,2023-03-07,https://www.ebay.co.uk/itm/266156863640?epid=5048310008&hash=item3df82f7098%3Ag%3APssAAOSwLAxkAMr-&amdata=enc%3AAQAHAAAAoLPl9FLO0I8KUDNIsL%2BNhC8rHnA1uJusFNGQB6OXuqvuXkh1x9X8qzEJkhj5dX943SB8D8%2FqERV%2FA7pCtfuObDOyGhalSO%2FIU%2FMmO7mLz6aTRjJ8mqW5J16iZdsJE5q66RnIQLDWjGl0DaEK07XvgOlaCxhXiaUlH8CLktMMsTuJcC61iHCjGkQf6hEMEOBaYrSZmaLKydz2t4Lp%2BOqkoxo%3D%7Ctkp%3ABk9SR7DMq9bXYQ&LH_Auction=1
Nintendo Switch OLED Model HEG-001 Handheld Console - 64GB - White,Brand new,220.0,4 Mar 2023,5.35,225.35,2023-03-07,https://www.ebay.co.uk/itm/394482214601?epid=5048310008&hash=item5bd8f8e6c9%3Ag%3AppAAAOSwCSlj-hxr&amdata=enc%3AAQAHAAAAoEyJmdqA8Dwmofq9Sbyp08Ak7FFN1wMg1AWoWSFedmWFNBc0%2FeZA1KWV7UXfUB1Rlkv5%2BLXfBDZ824YrcMZcUvgmxA5jegvN7s2bMfcA%2BKYvNowsISmZ7gi0PkmFTerdoKj%2BWJBnFg3FYBOtFec2vM5%2Fx3wXula4RBLB5VsrKZSrX3ryFeB7GeLxdoRQuiA%2FzewrZgHUIb%2BMJnc6PCwLzek%3D%7Ctkp%3ABk9SR7DMq9bXYQ&LH_Auction=1
Nintendo Switch OLED Mode Handheld Console Red And Blue. With Mariokart 8 Deluxe,Pre-owned,220.0,4 Mar 2023,9.05,229.05,2023-03-07,https://www.ebay.co.uk/itm/195630642373?epid=9048299510&hash=item2d8c7eb4c5%3Ag%3ATnAAAOSwNkJj%7EPiX&amdata=enc%3AAQAHAAAAoALIiWDgZmY%2FeAV8bopWxMyk%2FTmAzog%2BAZC2M1IFX5sVf%2FvIXETy7Qb6iiR0SRKOOOeWJBWd9NsB4MCot01cr72aBl%2BIS6K%2BybmaIPjlDVpD5fZMf4CnKHRdV1ezLr1aKEdZOUVW1d6yS6FTCvn9pQp0L8n97T9N3BIF0K1Mxzbg2GA%2BTYRcRVhzEHNAOSp3BQDIkRQK%2BpaDzKXxe6N5dOE%3D%7Ctkp%3ABk9SR7DMq9bXYQ&LH_Auction=1
Nintendo Switch OLED Handheld Console - 64GB - White Plus Case And Cover,Pre-owned,229.55,4 Mar 2023,15.45,245.0,2023-03-07,https://www.ebay.co.uk/itm/134465139146?epid=5048310008&hash=item1f4ebf31ca%3Ag%3A1ekAAOSwZgJj-hIt&amdata=enc%3AAQAHAAAAoJS3%2FVRksx76H61iUOvoKiYdElRh01EbaycT8yNl4f1%2BD1dTkKaYdE%2FgO%2Fc8iBfWOLHF10qC%2BQ4YZ7QebFHMi%2BHyHkLmn8YC0ehxeTSIPnTF08bRvVs0NmWmaraA2bSbBdNJ%2Fxhyd%2BZs2uBsqjAmvFQrs%2B1RDrzRerW%2Buu0ynfI0JbyUWIVAE6JQAMUD8%2F8sqVMGFkC6KMD%2B3t81Fmgcvp4%3D%7Ctkp%3ABk9SR7DMq9bXYQ&LH_Auction=1
Nintendo Switch OLED Bundle - Used Great Condition,Pre-owned,340.0,4 Mar 2023,5.2,345.2,2023-03-07,https://www.ebay.co.uk/itm/295543157233?hash=item44cfbeb1f1%3Ag%3Ac6kAAOSwpRZj-fJ1&amdata=enc%3AAQAHAAAAoISh1s9OSFqm%2BDV1okbQsCj9Q6D1v6Rp5dak6dq3qPbgeGH7CUUGUwIkrcQGbdQWoZwR%2FSnKiWBZDKVqMB2oqpMdtS5bIpBZl31trCc%2FzAk6rluYLlfyTAF7fi%2BXueoIF%2Bf2gYIzIQxdeVc4WeaFcDcuNHXpwe5dYLJy%2BOPtPrLovkH0gtsekMC100JkZn%2FIXVHOSnc8OawZO%2F569zwCk6U%3D%7Ctkp%3ABk9SR7DMq9bXYQ&LH_Auction=1
Nintendo Switch OLED Model HEG-001 Handheld Console - 64GB - Black/Neon Red/Neon,Pre-owned,205.0,4 Mar 2023,6.85,211.85,2023-03-07,https://www.ebay.co.uk/itm/314424539226?epid=9048299510&hash=item493529b85a%3Ag%3A5ZcAAOSwsSxj-fIm&amdata=enc%3AAQAHAAAAoN%2Bn%2BWRngDJUfUUKqnoNAOjys%2BEbb7ex3Jlw2A17bT%2BD2pAW737Sjw6xc8vxDW8%2BQ%2FUyvBy57jdWoF6EPkBgzq0wcVOXsTC76Q45bjB1fsN%2BM%2FmUvHwKz3g8za2ZPtzfkPUl83TY1MU%2FzSUbDT%2Bl%2BB2leAOEunwAeW9ev%2F8mtccxVzW6bqfckBvcJYAO0e2Ho2JksTdbokRKGW4AHZRGFNQ%3D%7Ctkp%3ABk9SR7DMq9bXYQ&LH_Auction=1
