Title,Condition,Price,Sale_Date,Postage,Total_Cost,Import_Date,URL
Nintendo Switch OLED Model Console - White,Brand new,257.69,6 Mar 2023,35.72,293.40999999999997,2023-03-07,https://www.ebay.co.uk/itm/225451999663?epid=10048191653&hash=item347dfc81af%3Ag%3AnS8AAOSwOEZj%7ER5X&amdata=enc%3AAQAHAAAAoIi2fBo2n8b09xF6dj12Gp9kGcxcohuM2pckMFNnAe4UTvM%2BIXwGdHSuXZFGxvOhIa6AOBU9w0tEgQB99TY62dwhp2xbLo0moe5JGLdnj1NaSc27n0cKbcxNDNBHezdbuMaAPrHLIHuvcUBdQObvxbzIlGBSiCWtZxkYJQGK5gX0c77gBj99DjPGysam%2B7lmOjf7g8g%2BiIL0hykqulYXeZI%3D%7Ctkp%3ABk9SR6rMq9bXYQ&LH_Auction=1
Nintendo Switch OLED Console White - Excellent Condition,Pre-owned,237.66,6 Mar 2023,3.0,240.66,2023-03-07,https://www.ebay.co.uk/itm/125794173589?epid=5048310008&hash=item1d49eac295%3Ag%3AHFMAAOSwm8Zj%7ERJW&amdata=enc%3AAQAHAAAAoM0mLBl1k%2BkAsnl32AxGnkiw8xON6CepEkPw0XK4Pji8YuTS4y2seyKt6WSRnd5kwxd7vzREclgTPtLNP%2FnmD2kUoUUPpQ6X7YBsZR24Ox%2FPXkv%2FafR7YfWOfwkoxfN8fBfTfw9RE3KimdluBya6UgM%2B8zoK7Mh%2FFzE1zSboNPNHDRhEuhwcWKcw6Ly3IE1SnuwIM53RmY1dNVoXdKlmoDY%3D%7Ctkp%3ABk9SR6rMq9bXYQ&LH_Auction=1
 Switch OLED Model HEG-001 Handheld Console - 64GB - White,Pre-owned,228.0,6 Mar 2023,12.99,240.99,2023-03-07,https://www.ebay.co.uk/itm/125794160100?hash=item1d49ea8de4%3Ag%3AnmwAAOSwCClj%7ELiQ&amdata=enc%3AAQAHAAAAoCmYekO6U58LTMMqpQB5juzIiV%2FAaNjn7mS6AqMmksPI7jct65h8ICTbuh4ztLigbIatGvDdETWj6W4MKR6t7Go07tf4O9Sw8xCsnYAes4CTR97vll36V4mt%2FQik%2Bs%2B0dH8Vy0fVdvfNXSc84HBJUMkfXiXRtL2t2ppWReXgWx9pu6l5lURGMYTK2tTBTpEEQBsFw0nZZil9O%2B3yFr5ITdw%3D%7Ctkp%3ABk9SR6rMq9bXYQ&LH_Auction=1
"Nintendo Switch OLED Model, Handheld Console - 64GB - White (BUNDLE!!)",Pre-owned,300.0,6 Mar 2023,9.05,309.05,2023-03-07,https://www.ebay.co.uk/itm/225451500138?epid=5048310008&hash=item347df4e26a%3Ag%3A0n8AAOSwZ%7EFj%7EOlU&amdata=enc%3AAQAHAAAAoPX7XL4xrTd8kTbryg7dckIHS548kRjg%2BITl8o93tmyt%2BPYB3PD6Siw6vS0MRNBquXCXxfUl5362FD1SC3bZDYWP2kHZSmXb1MFxFOLvCRjxaw2UuYvT2PkKJB02wkmm5yQGRbwfmdQ4HuQRQLnXXD3ylGk2tCn%2BZI%2F1KjVIi9dDJr29qHGBredagqmjZMbojzANsNIH9jFJKoQ9acKcyi4%3D%7Ctkp%3ABk9SR6rMq9bXYQ&LH_Auction=1
Nintendo Switch OLED Model HEG-001 Handheld Console - 64GB - Black/Neon Red/Neon,Pre-owned,215.0,6 Mar 2023,6.85,221.85,2023-03-07,https://www.ebay.co.uk/itm/125797522894?epid=9048299510&hash=item1d4a1dddce%3Ag%3A5HIAAOSwSlRj%7E4b8&amdata=enc%3AAQAHAAAAoGy8xFOXERqYEWaF0Nj5JP7qFjqLIS0xPeHX06nAHkQKm2EODNZ%2FLTHNuOs3rTnoaVsX2J9EraXOh9Z%2FVrV8Vgch4XxSxTU%2Fm6KiMgl9OPcGYd1oxaUMiWmSATq5GNFgAqgsumBtSmPXi8oq3DDULisMUCLNpL4YjxlbNyC%2B399qPMfyHe26vXNDnnEhTiKJFmkqSu8Fn4GBYuQeZ4fhFvw%3D%7Ctkp%3ABk9SR6rMq9bXYQ&LH_Auction=1
Nintendo Switch OLED Model HEG-001 Handheld Console - 64GB - Full Bundle,Pre-owned,235.0,6 Mar 2023,9.0,244.0,2023-03-07,https://www.ebay.co.uk/itm/285162934263?epid=5048310008&hash=item4265090ff7%3Ag%3ApVkAAOSwKwFj%7EM-B&amdata=enc%3AAQAHAAAAoMQDUUDH35AJFRm7xduIBGFIZroZCrASQYFoOjamjuDuLVofwaBb0ee%2BSON62QjU%2FDZwE9%2F2FxPNsUdKGa11NPPODoXqOKm83mqMzh280i%2FWZUAK7zRFmiLI8za3XeMA5j%2FNNt7e0q8AcPTrpYu8q%2F%2B1L0onOIlP3i4EZIsTCOpllUQ6zp0tSCEGh1fLITFcFxWpMK24Zitc1z3inpUgBzQ%3D%7Ctkp%3ABk9SR6zMq9bXYQ&LH_Auction=1
Nintendo Switch OLED Model HEG-001 Handheld Console - 64GB - Red ,Pre-owned,170.0,6 Mar 2023,3.99,173.99,2023-03-07,https://www.ebay.co.uk/itm/404177077309?hash=item5e1ad4c43d%3Ag%3ABLoAAOSwC0pj-Mg8&amdata=enc%3AAQAHAAAAoD8s%2Bnj718VJ0EfZNormFtETTwdWyZnjNB%2FxqRnn2sFqn0EJCnZExwQxWgfefXpnSrqI27ezCq7PpOcMNk3iQ%2BJiNLuF%2FS8253lTCP9llZSCxzN6Xh%2FNO9PtwMhfkMxirwfeUbt5tCnMHoF8VHeXGJSf91bblz3Mcyxqk1rbyiH2wAJuIO%2FxMCo5dL1B7FBOv1cY2LPRmCjmyDo%2BcKZOy5g%3D%7Ctkp%3ABk9SR6zMq9bXYQ&LH_Auction=1
Nintendo Switch OLED Model HEG-001 Handheld Console - 64GB - White,Parts only,56.0,6 Mar 2023,6.45,62.45,2023-03-07,https://www.ebay.co.uk/itm/155429761375?epid=5048310008&hash=item243055f15f%3Ag%3AGaYAAOSweTZj%7EI%7EQ&amdata=enc%3AAQAHAAAAoPS%2BtvgwjWvO%2F5MNgIBn2p8a9ShQKlMiF99Bj3rOnG1NgjVn1J5wU3HSNqj4rJOtihwIf%2F2RyQxp%2FWktoMXJyU37td83BBbNTerDON1SRi8e9rtjwsFHqYS%2FbcSOkD7gFHcwGjM2GuGsqLzdGM1rXlCUpXg%2F0yq%2BrDZHQiJ4AiEwPpDvO9P%2Fwn0WruP7rAIwZH5IQXxyrvHKZ8vtQ8Ay3K0%3D%7Ctkp%3ABk9SR6zMq9bXYQ&LH_Auction=1
nintendo switch oled white console,Pre-owned,235.0,6 Mar 2023,6.95,241.95,2023-03-07,https://www.ebay.co.uk/itm/314429145035?hash=item49356fffcb%3Ag%3Aif8AAOSwbxRj%7EIwW&amdata=enc%3AAQAHAAAAoGDtAXCFDGju1kfu1BZ7mWdMAHIOvBJh%2F2%2FO%2BzCPNXNTfLLWU2HtEm3UKGwTVN5%2Bt3EXWWgeCJYa4%2F7jM2PRRK9adOEnrygg5yrTAIlHbwDyV3RUoSlD5%2FJ3q%2BB8GohSavJiciurw4N6K7auDUVgC6cc8t7asNCErVICC0UZFHOnCYaFMNVP1rphJSSkmTkukPiJ%2BQLXfdbFiw7Odzn2SQs%3D%7Ctkp%3ABk9SR6zMq9bXYQ&LH_Auction=1
nintendo switch oled bundle,Pre-owned,250.0,6 Mar 2023,8.95,258.95,2023-03-07,https://www.ebay.co.uk/itm/266150961389?hash=item3df7d560ed%3Ag%3AXOMAAOSwICtj%7EIKZ&amdata=enc%3AAQAHAAAAoMFAGBKh%2BjZ1cti4fckDra9btOFYSyyKlWDrnVIQZnQrmSysw4FGQRkqpWBcBv7dpKWBX0bIGY6Rp81LveZ5A%2FzzUjdlhA48djtHVSSMYB3YZ%2Bqbd0to9g%2F3%2F%2BoYil198lJgdRL%2F2uzwmy02eKxYGd%2BFwEfvObT%2BndaIK%2BhkrOiSmp9bDTiqT%2BzATJZsC0NOcmgbX7b6Z1VCqqr7gEM2A1c%3D%7Ctkp%3ABk9SR6zMq9bXYQ&LH_Auction=1
